OBS,VNM_EXPSP_NTP,VNM_EXPH_NTP,VNM_OGI_NTP,VNM_EFF_NTP,VNM_IPR_A_NTP,VNM_TECHL_A_NTP,VNM_GINI_DISP_A_NTP,VNM_PM25_A_NTP,VNM_REL_RED_A_NTP,VNM_RPDI_A_NTP
2041,2510732.00000000000000,1202213.00000000000000,3625192.00000000000000,1.17243900000000,0.00592189805515,0.01298697380566,-0.00010587409370,-0.01135510026680,3.75904423018553,21.36886074657750
2042,2706092.00000000000000,1286888.00000000000000,3880524.00000000000000,1.18781900000000,0.00507336147852,0.01308717564803,-0.00009876895165,-0.01165750580121,3.73723069685864,1.84866945080824
2043,2913602.00000000000000,1376308.00000000000000,4150149.00000000000000,1.20320000000000,0.00564130853264,0.01319380439127,-0.00009214851684,-0.01196920216070,3.71586948567124,16.90472812266860
2044,3133830.00000000000000,1470684.00000000000000,4434723.00000000000000,1.21858100000000,0.00600815272192,0.01325062352107,-0.00008607539855,-0.01229163599661,3.69503034190916,28.96185296964870
2045,3367397.00000000000000,1570263.00000000000000,4734976.00000000000000,1.23396200000000,0.00638717387190,0.01329661863346,-0.00008011326759,-0.01262109181874,3.67470132717996,14.86048816757160
2046,3616094.00000000000000,1671404.00000000000000,5039950.00000000000000,1.24934300000000,0.00603035950416,0.01332856252078,-0.00007535143350,-0.01301180231789,3.64182748664123,14.84515833163460
2047,3883705.00000000000000,1779669.00000000000000,5366396.00000000000000,1.26472300000000,0.00386359813558,0.01333954570064,-0.00000066818801,-0.01337078115586,3.60457295245089,1.87406563580508
2048,4166750.00000000000000,1893369.00000000000000,5709232.00000000000000,1.28010400000000,0.00431215233753,0.01332689089387,0.00000038804034,-0.01374735745302,3.56791579544382,25.93610067669780
2049,4465774.00000000000000,2012704.00000000000000,6069064.00000000000000,1.29548500000000,0.00439281578699,0.01331321974453,0.00000081450551,-0.01413775208133,3.53193027686063,-0.87470091475792
2050,4781404.00000000000000,2137913.00000000000000,6446606.00000000000000,1.31086600000000,0.00449363805979,0.01330137766773,0.00000009733268,-0.01453594015606,3.49659952032826,0.04285080685401
